date,crop_type,region,market_name,price_per_kg,currency,source
2018-08-20,maize,Tarkwa,Tarkwa Central Market,2.01,GHS,WFP-GIEWS-Ghana
2018-08-27,maize,Tarkwa,Tarkwa Central Market,2.05,GHS,WFP-GIEWS-Ghana
2018-09-03,maize,Tarkwa,Tarkwa Central Market,1.75,GHS,WFP-GIEWS-Ghana
2018-09-10,maize,Tarkwa,Tarkwa Central Market,1.7,GHS,WFP-GIEWS-Ghana
2018-09-17,maize,Tarkwa,Tarkwa Central Market,1.7,GHS,WFP-GIEWS-Ghana
2018-09-24,maize,Tarkwa,Tarkwa Central Market,1.81,GHS,WFP-GIEWS-Ghana
2018-10-01,maize,Tarkwa,Tarkwa Central Market,1.55,GHS,WFP-GIEWS-Ghana
2018-10-08,maize,Tarkwa,Tarkwa Central Market,1.54,GHS,WFP-GIEWS-Ghana
2018-10-15,maize,Tarkwa,Tarkwa Central Market,1.47,GHS,WFP-GIEWS-Ghana
2018-10-22,maize,Tarkwa,Tarkwa Central Market,1.52,GHS,WFP-GIEWS-Ghana
2018-10-29,maize,Tarkwa,Tarkwa Central Market,1.51,GHS,WFP-GIEWS-Ghana
2018-11-05,maize,Tarkwa,Tarkwa Central Market,1.53,GHS,WFP-GIEWS-Ghana
2018-11-12,maize,Tarkwa,Tarkwa Central Market,1.57,GHS,WFP-GIEWS-Ghana
2018-11-19,maize,Tarkwa,Tarkwa Central Market,1.53,GHS,WFP-GIEWS-Ghana
2018-11-26,maize,Tarkwa,Tarkwa Central Market,1.56,GHS,WFP-GIEWS-Ghana
2018-12-03,maize,Tarkwa,Tarkwa Central Market,1.53,GHS,WFP-GIEWS-Ghana
2018-12-10,maize,Tarkwa,Tarkwa Central Market,1.54,GHS,WFP-GIEWS-Ghana
2018-12-17,maize,Tarkwa,Tarkwa Central Market,1.56,GHS,WFP-GIEWS-Ghana
2018-12-24,maize,Tarkwa,Tarkwa Central Market,1.44,GHS,WFP-GIEWS-Ghana
2018-12-31,maize,Tarkwa,Tarkwa Central Market,1.51,GHS,WFP-GIEWS-Ghana
2019-01-07,maize,Tarkwa,Tarkwa Central Market,1.91,GHS,WFP-GIEWS-Ghana
2019-01-14,maize,Tarkwa,Tarkwa Central Market,1.9,GHS,WFP-GIEWS-Ghana
2019-01-21,maize,Tarkwa,Tarkwa Central Market,1.93,GHS,WFP-GIEWS-Ghana
2019-01-28,maize,Tarkwa,Tarkwa Central Market,2.07,GHS,WFP-GIEWS-Ghana
2019-02-04,maize,Tarkwa,Tarkwa Central Market,1.89,GHS,WFP-GIEWS-Ghana
2019-02-11,maize,Tarkwa,Tarkwa Central Market,2.04,GHS,WFP-GIEWS-Ghana
2019-02-18,maize,Tarkwa,Tarkwa Central Market,1.83,GHS,WFP-GIEWS-Ghana
2019-02-25,maize,Tarkwa,Tarkwa Central Market,1.94,GHS,WFP-GIEWS-Ghana
2019-03-04,maize,Tarkwa,Tarkwa Central Market,1.69,GHS,WFP-GIEWS-Ghana
2019-03-11,maize,Tarkwa,Tarkwa Central Market,1.72,GHS,WFP-GIEWS-Ghana
2019-03-18,maize,Tarkwa,Tarkwa Central Market,1.73,GHS,WFP-GIEWS-Ghana
2019-03-25,maize,Tarkwa,Tarkwa Central Market,1.74,GHS,WFP-GIEWS-Ghana
2019-04-01,maize,Tarkwa,Tarkwa Central Market,1.67,GHS,WFP-GIEWS-Ghana
2019-04-08,maize,Tarkwa,Tarkwa Central Market,1.66,GHS,WFP-GIEWS-Ghana
2019-04-15,maize,Tarkwa,Tarkwa Central Market,1.75,GHS,WFP-GIEWS-Ghana
2019-04-22,maize,Tarkwa,Tarkwa Central Market,1.68,GHS,WFP-GIEWS-Ghana
2019-04-29,maize,Tarkwa,Tarkwa Central Market,1.61,GHS,WFP-GIEWS-Ghana
2019-05-06,maize,Tarkwa,Tarkwa Central Market,1.63,GHS,WFP-GIEWS-Ghana
2019-05-13,maize,Tarkwa,Tarkwa Central Market,1.64,GHS,WFP-GIEWS-Ghana
2019-05-20,maize,Tarkwa,Tarkwa Central Market,1.74,GHS,WFP-GIEWS-Ghana
2019-05-27,maize,Tarkwa,Tarkwa Central Market,1.71,GHS,WFP-GIEWS-Ghana
2019-06-03,maize,Tarkwa,Tarkwa Central Market,1.92,GHS,WFP-GIEWS-Ghana
2019-06-10,maize,Tarkwa,Tarkwa Central Market,1.83,GHS,WFP-GIEWS-Ghana
2019-06-17,maize,Tarkwa,Tarkwa Central Market,1.88,GHS,WFP-GIEWS-Ghana
2019-06-24,maize,Tarkwa,Tarkwa Central Market,1.91,GHS,WFP-GIEWS-Ghana
2019-07-01,maize,Tarkwa,Tarkwa Central Market,2.08,GHS,WFP-GIEWS-Ghana
2019-07-08,maize,Tarkwa,Tarkwa Central Market,2.14,GHS,WFP-GIEWS-Ghana
2019-07-15,maize,Tarkwa,Tarkwa Central Market,2.05,GHS,WFP-GIEWS-Ghana
2019-07-22,maize,Tarkwa,Tarkwa Central Market,2.07,GHS,WFP-GIEWS-Ghana
2019-07-29,maize,Tarkwa,Tarkwa Central Market,2.07,GHS,WFP-GIEWS-Ghana
2019-08-05,maize,Tarkwa,Tarkwa Central Market,2.01,GHS,WFP-GIEWS-Ghana
2019-08-12,maize,Tarkwa,Tarkwa Central Market,2.16,GHS,WFP-GIEWS-Ghana
2019-08-19,maize,Tarkwa,Tarkwa Central Market,2.08,GHS,WFP-GIEWS-Ghana
2019-08-26,maize,Tarkwa,Tarkwa Central Market,2.12,GHS,WFP-GIEWS-Ghana
2019-09-02,maize,Tarkwa,Tarkwa Central Market,1.94,GHS,WFP-GIEWS-Ghana
2019-09-09,maize,Tarkwa,Tarkwa Central Market,1.93,GHS,WFP-GIEWS-Ghana
2019-09-16,maize,Tarkwa,Tarkwa Central Market,1.95,GHS,WFP-GIEWS-Ghana
2019-09-23,maize,Tarkwa,Tarkwa Central Market,1.89,GHS,WFP-GIEWS-Ghana
2019-09-30,maize,Tarkwa,Tarkwa Central Market,1.87,GHS,WFP-GIEWS-Ghana
2019-10-07,maize,Tarkwa,Tarkwa Central Market,1.62,GHS,WFP-GIEWS-Ghana
2019-10-14,maize,Tarkwa,Tarkwa Central Market,1.52,GHS,WFP-GIEWS-Ghana
2019-10-21,maize,Tarkwa,Tarkwa Central Market,1.53,GHS,WFP-GIEWS-Ghana
2019-10-28,maize,Tarkwa,Tarkwa Central Market,1.54,GHS,WFP-GIEWS-Ghana
2019-11-04,maize,Tarkwa,Tarkwa Central Market,1.57,GHS,WFP-GIEWS-Ghana
2019-11-11,maize,Tarkwa,Tarkwa Central Market,1.66,GHS,WFP-GIEWS-Ghana
2019-11-18,maize,Tarkwa,Tarkwa Central Market,1.58,GHS,WFP-GIEWS-Ghana
2019-11-25,maize,Tarkwa,Tarkwa Central Market,1.61,GHS,WFP-GIEWS-Ghana
2019-12-02,maize,Tarkwa,Tarkwa Central Market,1.73,GHS,WFP-GIEWS-Ghana
2019-12-09,maize,Tarkwa,Tarkwa Central Market,1.62,GHS,WFP-GIEWS-Ghana
2019-12-16,maize,Tarkwa,Tarkwa Central Market,1.7,GHS,WFP-GIEWS-Ghana
2019-12-23,maize,Tarkwa,Tarkwa Central Market,1.59,GHS,WFP-GIEWS-Ghana
2019-12-30,maize,Tarkwa,Tarkwa Central Market,1.63,GHS,WFP-GIEWS-Ghana
2020-01-06,maize,Tarkwa,Tarkwa Central Market,2.03,GHS,WFP-GIEWS-Ghana
2020-01-13,maize,Tarkwa,Tarkwa Central Market,2.08,GHS,WFP-GIEWS-Ghana
2020-01-20,maize,Tarkwa,Tarkwa Central Market,2.18,GHS,WFP-GIEWS-Ghana
2020-01-27,maize,Tarkwa,Tarkwa Central Market,1.96,GHS,WFP-GIEWS-Ghana
2020-02-03,maize,Tarkwa,Tarkwa Central Market,2.16,GHS,WFP-GIEWS-Ghana
2020-02-10,maize,Tarkwa,Tarkwa Central Market,2.14,GHS,WFP-GIEWS-Ghana
2020-02-17,maize,Tarkwa,Tarkwa Central Market,2.07,GHS,WFP-GIEWS-Ghana
2020-02-24,maize,Tarkwa,Tarkwa Central Market,2.0,GHS,WFP-GIEWS-Ghana
2020-03-02,maize,Tarkwa,Tarkwa Central Market,1.82,GHS,WFP-GIEWS-Ghana
2020-03-09,maize,Tarkwa,Tarkwa Central Market,1.78,GHS,WFP-GIEWS-Ghana
2020-03-16,maize,Tarkwa,Tarkwa Central Market,1.83,GHS,WFP-GIEWS-Ghana
2020-03-23,maize,Tarkwa,Tarkwa Central Market,1.82,GHS,WFP-GIEWS-Ghana
2020-03-30,maize,Tarkwa,Tarkwa Central Market,1.93,GHS,WFP-GIEWS-Ghana
2020-04-06,maize,Tarkwa,Tarkwa Central Market,1.81,GHS,WFP-GIEWS-Ghana
2020-04-13,maize,Tarkwa,Tarkwa Central Market,1.75,GHS,WFP-GIEWS-Ghana
2020-04-20,maize,Tarkwa,Tarkwa Central Market,1.84,GHS,WFP-GIEWS-Ghana
2020-04-27,maize,Tarkwa,Tarkwa Central Market,1.85,GHS,WFP-GIEWS-Ghana
2020-05-04,maize,Tarkwa,Tarkwa Central Market,1.94,GHS,WFP-GIEWS-Ghana
2020-05-11,maize,Tarkwa,Tarkwa Central Market,1.9,GHS,WFP-GIEWS-Ghana
2020-05-18,maize,Tarkwa,Tarkwa Central Market,1.87,GHS,WFP-GIEWS-Ghana
2020-05-25,maize,Tarkwa,Tarkwa Central Market,1.95,GHS,WFP-GIEWS-Ghana
2020-06-01,maize,Tarkwa,Tarkwa Central Market,1.92,GHS,WFP-GIEWS-Ghana
2020-06-08,maize,Tarkwa,Tarkwa Central Market,1.96,GHS,WFP-GIEWS-Ghana
2020-06-15,maize,Tarkwa,Tarkwa Central Market,1.94,GHS,WFP-GIEWS-Ghana
2020-06-22,maize,Tarkwa,Tarkwa Central Market,1.98,GHS,WFP-GIEWS-Ghana
2020-06-29,maize,Tarkwa,Tarkwa Central Market,1.9,GHS,WFP-GIEWS-Ghana
2020-07-06,maize,Tarkwa,Tarkwa Central Market,2.33,GHS,WFP-GIEWS-Ghana
2020-07-13,maize,Tarkwa,Tarkwa Central Market,2.25,GHS,WFP-GIEWS-Ghana
2020-07-20,maize,Tarkwa,Tarkwa Central Market,2.14,GHS,WFP-GIEWS-Ghana
2020-07-27,maize,Tarkwa,Tarkwa Central Market,2.18,GHS,WFP-GIEWS-Ghana
2020-08-03,maize,Tarkwa,Tarkwa Central Market,2.31,GHS,WFP-GIEWS-Ghana
2020-08-10,maize,Tarkwa,Tarkwa Central Market,2.36,GHS,WFP-GIEWS-Ghana
2020-08-17,maize,Tarkwa,Tarkwa Central Market,2.47,GHS,WFP-GIEWS-Ghana
2020-08-24,maize,Tarkwa,Tarkwa Central Market,2.55,GHS,WFP-GIEWS-Ghana
2020-08-31,maize,Tarkwa,Tarkwa Central Market,2.32,GHS,WFP-GIEWS-Ghana
2020-09-07,maize,Tarkwa,Tarkwa Central Market,1.97,GHS,WFP-GIEWS-Ghana
2020-09-14,maize,Tarkwa,Tarkwa Central Market,1.88,GHS,WFP-GIEWS-Ghana
2020-09-21,maize,Tarkwa,Tarkwa Central Market,2.07,GHS,WFP-GIEWS-Ghana
2020-09-28,maize,Tarkwa,Tarkwa Central Market,1.99,GHS,WFP-GIEWS-Ghana
2020-10-05,maize,Tarkwa,Tarkwa Central Market,1.73,GHS,WFP-GIEWS-Ghana
2020-10-12,maize,Tarkwa,Tarkwa Central Market,1.71,GHS,WFP-GIEWS-Ghana
2020-10-19,maize,Tarkwa,Tarkwa Central Market,1.75,GHS,WFP-GIEWS-Ghana
2020-10-26,maize,Tarkwa,Tarkwa Central Market,1.83,GHS,WFP-GIEWS-Ghana
2020-11-02,maize,Tarkwa,Tarkwa Central Market,1.78,GHS,WFP-GIEWS-Ghana
2020-11-09,maize,Tarkwa,Tarkwa Central Market,1.76,GHS,WFP-GIEWS-Ghana
2020-11-16,maize,Tarkwa,Tarkwa Central Market,1.69,GHS,WFP-GIEWS-Ghana
2020-11-23,maize,Tarkwa,Tarkwa Central Market,1.65,GHS,WFP-GIEWS-Ghana
2020-11-30,maize,Tarkwa,Tarkwa Central Market,1.73,GHS,WFP-GIEWS-Ghana
2020-12-07,maize,Tarkwa,Tarkwa Central Market,1.78,GHS,WFP-GIEWS-Ghana
2020-12-14,maize,Tarkwa,Tarkwa Central Market,1.9,GHS,WFP-GIEWS-Ghana
2020-12-21,maize,Tarkwa,Tarkwa Central Market,1.79,GHS,WFP-GIEWS-Ghana
2020-12-28,maize,Tarkwa,Tarkwa Central Market,1.85,GHS,WFP-GIEWS-Ghana
2021-01-04,maize,Tarkwa,Tarkwa Central Market,2.23,GHS,WFP-GIEWS-Ghana
2021-01-11,maize,Tarkwa,Tarkwa Central Market,2.17,GHS,WFP-GIEWS-Ghana
2021-01-18,maize,Tarkwa,Tarkwa Central Market,2.19,GHS,WFP-GIEWS-Ghana
2021-01-25,maize,Tarkwa,Tarkwa Central Market,2.21,GHS,WFP-GIEWS-Ghana
2021-02-01,maize,Tarkwa,Tarkwa Central Market,2.48,GHS,WFP-GIEWS-Ghana
2021-02-08,maize,Tarkwa,Tarkwa Central Market,2.21,GHS,WFP-GIEWS-Ghana
2021-02-15,maize,Tarkwa,Tarkwa Central Market,2.37,GHS,WFP-GIEWS-Ghana
2021-02-22,maize,Tarkwa,Tarkwa Central Market,2.21,GHS,WFP-GIEWS-Ghana
2021-03-01,maize,Tarkwa,Tarkwa Central Market,2.04,GHS,WFP-GIEWS-Ghana
2021-03-08,maize,Tarkwa,Tarkwa Central Market,1.99,GHS,WFP-GIEWS-Ghana
2021-03-15,maize,Tarkwa,Tarkwa Central Market,1.95,GHS,WFP-GIEWS-Ghana
2021-03-22,maize,Tarkwa,Tarkwa Central Market,1.96,GHS,WFP-GIEWS-Ghana
2021-03-29,maize,Tarkwa,Tarkwa Central Market,1.91,GHS,WFP-GIEWS-Ghana
2021-04-05,maize,Tarkwa,Tarkwa Central Market,2.01,GHS,WFP-GIEWS-Ghana
2021-04-12,maize,Tarkwa,Tarkwa Central Market,1.94,GHS,WFP-GIEWS-Ghana
2021-04-19,maize,Tarkwa,Tarkwa Central Market,1.88,GHS,WFP-GIEWS-Ghana
2021-04-26,maize,Tarkwa,Tarkwa Central Market,1.87,GHS,WFP-GIEWS-Ghana
2021-05-03,maize,Tarkwa,Tarkwa Central Market,2.0,GHS,WFP-GIEWS-Ghana
2021-05-10,maize,Tarkwa,Tarkwa Central Market,2.11,GHS,WFP-GIEWS-Ghana
2021-05-17,maize,Tarkwa,Tarkwa Central Market,2.0,GHS,WFP-GIEWS-Ghana
2021-05-24,maize,Tarkwa,Tarkwa Central Market,1.98,GHS,WFP-GIEWS-Ghana
2021-05-31,maize,Tarkwa,Tarkwa Central Market,2.01,GHS,WFP-GIEWS-Ghana
2021-06-07,maize,Tarkwa,Tarkwa Central Market,2.29,GHS,WFP-GIEWS-Ghana
2021-06-14,maize,Tarkwa,Tarkwa Central Market,2.19,GHS,WFP-GIEWS-Ghana
2021-06-21,maize,Tarkwa,Tarkwa Central Market,2.14,GHS,WFP-GIEWS-Ghana
2021-06-28,maize,Tarkwa,Tarkwa Central Market,2.27,GHS,WFP-GIEWS-Ghana
2021-07-05,maize,Tarkwa,Tarkwa Central Market,2.49,GHS,WFP-GIEWS-Ghana
2021-07-12,maize,Tarkwa,Tarkwa Central Market,2.6,GHS,WFP-GIEWS-Ghana
2021-07-19,maize,Tarkwa,Tarkwa Central Market,2.47,GHS,WFP-GIEWS-Ghana
2021-07-26,maize,Tarkwa,Tarkwa Central Market,2.33,GHS,WFP-GIEWS-Ghana
2021-08-02,maize,Tarkwa,Tarkwa Central Market,2.33,GHS,WFP-GIEWS-Ghana
2021-08-09,maize,Tarkwa,Tarkwa Central Market,2.63,GHS,WFP-GIEWS-Ghana
2021-08-16,maize,Tarkwa,Tarkwa Central Market,2.64,GHS,WFP-GIEWS-Ghana
2021-08-23,maize,Tarkwa,Tarkwa Central Market,2.45,GHS,WFP-GIEWS-Ghana
2021-08-30,maize,Tarkwa,Tarkwa Central Market,2.43,GHS,WFP-GIEWS-Ghana
2021-09-06,maize,Tarkwa,Tarkwa Central Market,2.35,GHS,WFP-GIEWS-Ghana
2021-09-13,maize,Tarkwa,Tarkwa Central Market,2.12,GHS,WFP-GIEWS-Ghana
2021-09-20,maize,Tarkwa,Tarkwa Central Market,2.14,GHS,WFP-GIEWS-Ghana
2021-09-27,maize,Tarkwa,Tarkwa Central Market,2.27,GHS,WFP-GIEWS-Ghana
2021-10-04,maize,Tarkwa,Tarkwa Central Market,1.87,GHS,WFP-GIEWS-Ghana
2021-10-11,maize,Tarkwa,Tarkwa Central Market,1.9,GHS,WFP-GIEWS-Ghana
2021-10-18,maize,Tarkwa,Tarkwa Central Market,1.88,GHS,WFP-GIEWS-Ghana
2021-10-25,maize,Tarkwa,Tarkwa Central Market,1.92,GHS,WFP-GIEWS-Ghana
2021-11-01,maize,Tarkwa,Tarkwa Central Market,2.02,GHS,WFP-GIEWS-Ghana
2021-11-08,maize,Tarkwa,Tarkwa Central Market,1.92,GHS,WFP-GIEWS-Ghana
2021-11-15,maize,Tarkwa,Tarkwa Central Market,1.96,GHS,WFP-GIEWS-Ghana
2021-11-22,maize,Tarkwa,Tarkwa Central Market,1.75,GHS,WFP-GIEWS-Ghana
2021-11-29,maize,Tarkwa,Tarkwa Central Market,1.91,GHS,WFP-GIEWS-Ghana
2021-12-06,maize,Tarkwa,Tarkwa Central Market,1.86,GHS,WFP-GIEWS-Ghana
2021-12-13,maize,Tarkwa,Tarkwa Central Market,1.83,GHS,WFP-GIEWS-Ghana
2021-12-20,maize,Tarkwa,Tarkwa Central Market,1.85,GHS,WFP-GIEWS-Ghana
2021-12-27,maize,Tarkwa,Tarkwa Central Market,1.9,GHS,WFP-GIEWS-Ghana
2022-01-03,maize,Tarkwa,Tarkwa Central Market,2.55,GHS,WFP-GIEWS-Ghana
2022-01-10,maize,Tarkwa,Tarkwa Central Market,2.33,GHS,WFP-GIEWS-Ghana
2022-01-17,maize,Tarkwa,Tarkwa Central Market,2.46,GHS,WFP-GIEWS-Ghana
2022-01-24,maize,Tarkwa,Tarkwa Central Market,2.41,GHS,WFP-GIEWS-Ghana
2022-01-31,maize,Tarkwa,Tarkwa Central Market,2.42,GHS,WFP-GIEWS-Ghana
2022-02-07,maize,Tarkwa,Tarkwa Central Market,2.57,GHS,WFP-GIEWS-Ghana
2022-02-14,maize,Tarkwa,Tarkwa Central Market,2.53,GHS,WFP-GIEWS-Ghana
2022-02-21,maize,Tarkwa,Tarkwa Central Market,2.6,GHS,WFP-GIEWS-Ghana
2022-02-28,maize,Tarkwa,Tarkwa Central Market,2.46,GHS,WFP-GIEWS-Ghana
2022-03-07,maize,Tarkwa,Tarkwa Central Market,2.06,GHS,WFP-GIEWS-Ghana
2022-03-14,maize,Tarkwa,Tarkwa Central Market,2.1,GHS,WFP-GIEWS-Ghana
2022-03-21,maize,Tarkwa,Tarkwa Central Market,2.14,GHS,WFP-GIEWS-Ghana
2022-03-28,maize,Tarkwa,Tarkwa Central Market,2.13,GHS,WFP-GIEWS-Ghana
2022-04-04,maize,Tarkwa,Tarkwa Central Market,2.04,GHS,WFP-GIEWS-Ghana
2022-04-11,maize,Tarkwa,Tarkwa Central Market,2.14,GHS,WFP-GIEWS-Ghana
2022-04-18,maize,Tarkwa,Tarkwa Central Market,2.15,GHS,WFP-GIEWS-Ghana
2022-04-25,maize,Tarkwa,Tarkwa Central Market,2.35,GHS,WFP-GIEWS-Ghana
2022-05-02,maize,Tarkwa,Tarkwa Central Market,2.31,GHS,WFP-GIEWS-Ghana
2022-05-09,maize,Tarkwa,Tarkwa Central Market,2.07,GHS,WFP-GIEWS-Ghana
2022-05-16,maize,Tarkwa,Tarkwa Central Market,2.12,GHS,WFP-GIEWS-Ghana
2022-05-23,maize,Tarkwa,Tarkwa Central Market,2.02,GHS,WFP-GIEWS-Ghana
2022-05-30,maize,Tarkwa,Tarkwa Central Market,2.1,GHS,WFP-GIEWS-Ghana
2022-06-06,maize,Tarkwa,Tarkwa Central Market,2.38,GHS,WFP-GIEWS-Ghana
2022-06-13,maize,Tarkwa,Tarkwa Central Market,2.46,GHS,WFP-GIEWS-Ghana
2022-06-20,maize,Tarkwa,Tarkwa Central Market,2.28,GHS,WFP-GIEWS-Ghana
2022-06-27,maize,Tarkwa,Tarkwa Central Market,2.29,GHS,WFP-GIEWS-Ghana
2022-07-04,maize,Tarkwa,Tarkwa Central Market,2.42,GHS,WFP-GIEWS-Ghana
2022-07-11,maize,Tarkwa,Tarkwa Central Market,2.63,GHS,WFP-GIEWS-Ghana
2022-07-18,maize,Tarkwa,Tarkwa Central Market,2.54,GHS,WFP-GIEWS-Ghana
2022-07-25,maize,Tarkwa,Tarkwa Central Market,2.59,GHS,WFP-GIEWS-Ghana
2022-08-01,maize,Tarkwa,Tarkwa Central Market,2.57,GHS,WFP-GIEWS-Ghana
2022-08-08,maize,Tarkwa,Tarkwa Central Market,2.65,GHS,WFP-GIEWS-Ghana
2022-08-15,maize,Tarkwa,Tarkwa Central Market,2.48,GHS,WFP-GIEWS-Ghana
2022-08-22,maize,Tarkwa,Tarkwa Central Market,2.51,GHS,WFP-GIEWS-Ghana
2022-08-29,maize,Tarkwa,Tarkwa Central Market,2.89,GHS,WFP-GIEWS-Ghana
2022-09-05,maize,Tarkwa,Tarkwa Central Market,2.27,GHS,WFP-GIEWS-Ghana
2022-09-12,maize,Tarkwa,Tarkwa Central Market,2.29,GHS,WFP-GIEWS-Ghana
2022-09-19,maize,Tarkwa,Tarkwa Central Market,2.57,GHS,WFP-GIEWS-Ghana
2022-09-26,maize,Tarkwa,Tarkwa Central Market,2.67,GHS,WFP-GIEWS-Ghana
2022-10-03,maize,Tarkwa,Tarkwa Central Market,1.95,GHS,WFP-GIEWS-Ghana
2022-10-10,maize,Tarkwa,Tarkwa Central Market,2.02,GHS,WFP-GIEWS-Ghana
2022-10-17,maize,Tarkwa,Tarkwa Central Market,2.08,GHS,WFP-GIEWS-Ghana
2022-10-24,maize,Tarkwa,Tarkwa Central Market,2.19,GHS,WFP-GIEWS-Ghana
2022-10-31,maize,Tarkwa,Tarkwa Central Market,1.97,GHS,WFP-GIEWS-Ghana
2022-11-07,maize,Tarkwa,Tarkwa Central Market,2.04,GHS,WFP-GIEWS-Ghana
2022-11-14,maize,Tarkwa,Tarkwa Central Market,2.13,GHS,WFP-GIEWS-Ghana
2022-11-21,maize,Tarkwa,Tarkwa Central Market,2.1,GHS,WFP-GIEWS-Ghana
2022-11-28,maize,Tarkwa,Tarkwa Central Market,2.03,GHS,WFP-GIEWS-Ghana
2022-12-05,maize,Tarkwa,Tarkwa Central Market,2.06,GHS,WFP-GIEWS-Ghana
2022-12-12,maize,Tarkwa,Tarkwa Central Market,1.96,GHS,WFP-GIEWS-Ghana
2022-12-19,maize,Tarkwa,Tarkwa Central Market,2.06,GHS,WFP-GIEWS-Ghana
2022-12-26,maize,Tarkwa,Tarkwa Central Market,2.05,GHS,WFP-GIEWS-Ghana
2023-01-02,maize,Tarkwa,Tarkwa Central Market,2.68,GHS,WFP-GIEWS-Ghana
2023-01-09,maize,Tarkwa,Tarkwa Central Market,2.59,GHS,WFP-GIEWS-Ghana
2023-01-16,maize,Tarkwa,Tarkwa Central Market,2.7,GHS,WFP-GIEWS-Ghana
2023-01-23,maize,Tarkwa,Tarkwa Central Market,2.76,GHS,WFP-GIEWS-Ghana
2023-01-30,maize,Tarkwa,Tarkwa Central Market,2.67,GHS,WFP-GIEWS-Ghana
2023-02-06,maize,Tarkwa,Tarkwa Central Market,2.71,GHS,WFP-GIEWS-Ghana
2023-02-13,maize,Tarkwa,Tarkwa Central Market,2.68,GHS,WFP-GIEWS-Ghana
2023-02-20,maize,Tarkwa,Tarkwa Central Market,2.67,GHS,WFP-GIEWS-Ghana
2023-02-27,maize,Tarkwa,Tarkwa Central Market,2.59,GHS,WFP-GIEWS-Ghana
2023-03-06,maize,Tarkwa,Tarkwa Central Market,2.32,GHS,WFP-GIEWS-Ghana
2023-03-13,maize,Tarkwa,Tarkwa Central Market,2.28,GHS,WFP-GIEWS-Ghana
2023-03-20,maize,Tarkwa,Tarkwa Central Market,2.48,GHS,WFP-GIEWS-Ghana
