date,crop_type,region,demand_kg,price_per_kg,festival_flag,month,week_of_year
2018-09-10,maize,Tarkwa,319.4,1.7,0,9,37
2018-09-17,maize,Tarkwa,313.1,1.7,0,9,38
2018-09-24,maize,Tarkwa,289.8,1.81,0,9,39
2018-10-01,maize,Tarkwa,303.4,1.55,0,10,40
2018-10-08,maize,Tarkwa,316.5,1.54,0,10,41
2018-10-15,maize,Tarkwa,311.9,1.47,0,10,42
2018-10-22,maize,Tarkwa,321.1,1.52,0,10,43
2018-10-29,maize,Tarkwa,302.3,1.51,0,10,44
2018-11-05,maize,Tarkwa,287.9,1.53,0,11,45
2018-11-12,maize,Tarkwa,329.1,1.57,0,11,46
2018-11-19,maize,Tarkwa,310.7,1.53,0,11,47
2018-11-26,maize,Tarkwa,299.3,1.56,0,11,48
2018-12-03,maize,Tarkwa,300.7,1.53,0,12,49
2018-12-10,maize,Tarkwa,328.4,1.54,0,12,50
2018-12-17,maize,Tarkwa,343.3,1.56,0,12,51
2018-12-24,maize,Tarkwa,545.9,1.44,1,12,52
2018-12-31,maize,Tarkwa,532.9,1.51,1,12,1
2019-01-07,maize,Tarkwa,324.3,1.91,0,1,2
2019-01-14,maize,Tarkwa,272.7,1.9,0,1,3
2019-01-21,maize,Tarkwa,338.1,1.93,0,1,4
2019-01-28,maize,Tarkwa,329.0,2.07,0,1,5
2019-02-04,maize,Tarkwa,259.0,1.89,0,2,6
2019-02-11,maize,Tarkwa,290.2,2.04,0,2,7
2019-02-18,maize,Tarkwa,303.1,1.83,0,2,8
2019-02-25,maize,Tarkwa,298.3,1.94,0,2,9
2019-03-04,maize,Tarkwa,313.4,1.69,0,3,10
2019-03-11,maize,Tarkwa,332.7,1.72,0,3,11
2019-03-18,maize,Tarkwa,313.7,1.73,0,3,12
2019-03-25,maize,Tarkwa,297.3,1.74,0,3,13
2019-04-01,maize,Tarkwa,508.4,1.67,1,4,14
2019-04-08,maize,Tarkwa,532.0,1.66,1,4,15
2019-04-15,maize,Tarkwa,292.8,1.75,0,4,16
2019-04-22,maize,Tarkwa,292.9,1.68,0,4,17
2019-04-29,maize,Tarkwa,375.7,1.61,0,4,18
2019-05-06,maize,Tarkwa,321.7,1.63,0,5,19
2019-05-13,maize,Tarkwa,330.3,1.64,0,5,20
2019-05-20,maize,Tarkwa,311.0,1.74,0,5,21
2019-05-27,maize,Tarkwa,333.4,1.71,0,5,22
2019-06-03,maize,Tarkwa,346.9,1.92,0,6,23
2019-06-10,maize,Tarkwa,336.3,1.83,0,6,24
2019-06-17,maize,Tarkwa,289.5,1.88,0,6,25
2019-06-24,maize,Tarkwa,288.6,1.91,0,6,26
2019-07-01,maize,Tarkwa,290.1,2.08,0,7,27
2019-07-08,maize,Tarkwa,286.2,2.14,0,7,28
2019-07-15,maize,Tarkwa,269.4,2.05,0,7,29
2019-07-22,maize,Tarkwa,312.9,2.07,0,7,30
2019-07-29,maize,Tarkwa,278.8,2.07,0,7,31
2019-08-05,maize,Tarkwa,499.9,2.01,1,8,32
2019-08-12,maize,Tarkwa,482.1,2.16,1,8,33
2019-08-19,maize,Tarkwa,440.5,2.08,1,8,34
2019-08-26,maize,Tarkwa,452.4,2.12,1,8,35
2019-09-02,maize,Tarkwa,293.7,1.94,0,9,36
2019-09-09,maize,Tarkwa,330.3,1.93,0,9,37
2019-09-16,maize,Tarkwa,306.5,1.95,0,9,38
2019-09-23,maize,Tarkwa,302.4,1.89,0,9,39
2019-09-30,maize,Tarkwa,320.4,1.87,0,9,40
2019-10-07,maize,Tarkwa,319.7,1.62,0,10,41
2019-10-14,maize,Tarkwa,338.3,1.52,0,10,42
2019-10-21,maize,Tarkwa,362.9,1.53,0,10,43
2019-10-28,maize,Tarkwa,325.5,1.54,0,10,44
2019-11-04,maize,Tarkwa,374.2,1.57,0,11,45
2019-11-11,maize,Tarkwa,299.2,1.66,0,11,46
2019-11-18,maize,Tarkwa,370.0,1.58,0,11,47
2019-11-25,maize,Tarkwa,312.3,1.61,0,11,48
2019-12-02,maize,Tarkwa,317.1,1.73,0,12,49
2019-12-09,maize,Tarkwa,323.4,1.62,0,12,50
2019-12-16,maize,Tarkwa,314.7,1.7,0,12,51
2019-12-23,maize,Tarkwa,588.3,1.59,1,12,52
2019-12-30,maize,Tarkwa,600.5,1.63,1,12,1
2020-01-06,maize,Tarkwa,337.1,2.03,0,1,2
2020-01-13,maize,Tarkwa,301.4,2.08,0,1,3
2020-01-20,maize,Tarkwa,301.5,2.18,0,1,4
2020-01-27,maize,Tarkwa,307.8,1.96,0,1,5
2020-02-03,maize,Tarkwa,284.3,2.16,0,2,6
2020-02-10,maize,Tarkwa,283.4,2.14,0,2,7
2020-02-17,maize,Tarkwa,303.8,2.07,0,2,8
2020-02-24,maize,Tarkwa,325.0,2.0,0,2,9
2020-03-02,maize,Tarkwa,290.9,1.82,0,3,10
2020-03-09,maize,Tarkwa,333.2,1.78,0,3,11
2020-03-16,maize,Tarkwa,357.0,1.83,0,3,12
2020-03-23,maize,Tarkwa,350.7,1.82,0,3,13
2020-03-30,maize,Tarkwa,303.4,1.93,0,3,14
2020-04-06,maize,Tarkwa,478.8,1.81,1,4,15
2020-04-13,maize,Tarkwa,550.8,1.75,1,4,16
2020-04-20,maize,Tarkwa,282.4,1.84,0,4,17
2020-04-27,maize,Tarkwa,348.5,1.85,0,4,18
2020-05-04,maize,Tarkwa,313.2,1.94,0,5,19
2020-05-11,maize,Tarkwa,357.7,1.9,0,5,20
2020-05-18,maize,Tarkwa,292.4,1.87,0,5,21
2020-05-25,maize,Tarkwa,333.5,1.95,0,5,22
2020-06-01,maize,Tarkwa,336.7,1.92,0,6,23
2020-06-08,maize,Tarkwa,327.0,1.96,0,6,24
2020-06-15,maize,Tarkwa,308.5,1.94,0,6,25
2020-06-22,maize,Tarkwa,342.9,1.98,0,6,26
2020-06-29,maize,Tarkwa,355.3,1.9,0,6,27
2020-07-06,maize,Tarkwa,326.5,2.33,0,7,28
2020-07-13,maize,Tarkwa,321.1,2.25,0,7,29
2020-07-20,maize,Tarkwa,303.1,2.14,0,7,30
2020-07-27,maize,Tarkwa,291.3,2.18,0,7,31
2020-08-03,maize,Tarkwa,410.0,2.31,1,8,32
2020-08-10,maize,Tarkwa,478.4,2.36,1,8,33
2020-08-17,maize,Tarkwa,404.9,2.47,1,8,34
2020-08-24,maize,Tarkwa,451.6,2.55,1,8,35
2020-08-31,maize,Tarkwa,459.2,2.32,1,8,36
2020-09-07,maize,Tarkwa,345.5,1.97,0,9,37
2020-09-14,maize,Tarkwa,344.5,1.88,0,9,38
2020-09-21,maize,Tarkwa,339.4,2.07,0,9,39
2020-09-28,maize,Tarkwa,336.0,1.99,0,9,40
2020-10-05,maize,Tarkwa,330.8,1.73,0,10,41
2020-10-12,maize,Tarkwa,355.5,1.71,0,10,42
2020-10-19,maize,Tarkwa,332.5,1.75,0,10,43
2020-10-26,maize,Tarkwa,308.8,1.83,0,10,44
2020-11-02,maize,Tarkwa,345.3,1.78,0,11,45
2020-11-09,maize,Tarkwa,334.9,1.76,0,11,46
2020-11-16,maize,Tarkwa,356.7,1.69,0,11,47
2020-11-23,maize,Tarkwa,343.2,1.65,0,11,48
2020-11-30,maize,Tarkwa,315.8,1.73,0,11,49
2020-12-07,maize,Tarkwa,370.4,1.78,0,12,50
2020-12-14,maize,Tarkwa,349.1,1.9,0,12,51
2020-12-21,maize,Tarkwa,584.4,1.79,1,12,52
2020-12-28,maize,Tarkwa,528.8,1.85,1,12,53
2021-01-04,maize,Tarkwa,311.1,2.23,0,1,1
2021-01-11,maize,Tarkwa,350.2,2.17,0,1,2
2021-01-18,maize,Tarkwa,314.3,2.19,0,1,3
2021-01-25,maize,Tarkwa,306.9,2.21,0,1,4
2021-02-01,maize,Tarkwa,327.5,2.48,0,2,5
2021-02-08,maize,Tarkwa,320.1,2.21,0,2,6
2021-02-15,maize,Tarkwa,337.0,2.37,0,2,7
2021-02-22,maize,Tarkwa,294.1,2.21,0,2,8
2021-03-01,maize,Tarkwa,336.1,2.04,0,3,9
2021-03-08,maize,Tarkwa,373.3,1.99,0,3,10
2021-03-15,maize,Tarkwa,337.8,1.95,0,3,11
2021-03-22,maize,Tarkwa,330.6,1.96,0,3,12
2021-03-29,maize,Tarkwa,318.5,1.91,0,3,13
2021-04-05,maize,Tarkwa,556.0,2.01,1,4,14
2021-04-12,maize,Tarkwa,511.3,1.94,1,4,15
2021-04-19,maize,Tarkwa,346.8,1.88,0,4,16
2021-04-26,maize,Tarkwa,324.3,1.87,0,4,17
2021-05-03,maize,Tarkwa,366.4,2.0,0,5,18
2021-05-10,maize,Tarkwa,344.3,2.11,0,5,19
2021-05-17,maize,Tarkwa,334.5,2.0,0,5,20
2021-05-24,maize,Tarkwa,314.3,1.98,0,5,21
2021-05-31,maize,Tarkwa,364.7,2.01,0,5,22
2021-06-07,maize,Tarkwa,313.7,2.29,0,6,23
2021-06-14,maize,Tarkwa,309.7,2.19,0,6,24
2021-06-21,maize,Tarkwa,301.8,2.14,0,6,25
2021-06-28,maize,Tarkwa,310.4,2.27,0,6,26
2021-07-05,maize,Tarkwa,276.7,2.49,0,7,27
2021-07-12,maize,Tarkwa,282.6,2.6,0,7,28
2021-07-19,maize,Tarkwa,318.7,2.47,0,7,29
2021-07-26,maize,Tarkwa,311.5,2.33,0,7,30
2021-08-02,maize,Tarkwa,489.8,2.33,1,8,31
2021-08-09,maize,Tarkwa,418.9,2.63,1,8,32
2021-08-16,maize,Tarkwa,438.4,2.64,1,8,33
2021-08-23,maize,Tarkwa,515.0,2.45,1,8,34
2021-08-30,maize,Tarkwa,454.9,2.43,1,8,35
2021-09-06,maize,Tarkwa,328.2,2.35,0,9,36
2021-09-13,maize,Tarkwa,314.0,2.12,0,9,37
2021-09-20,maize,Tarkwa,375.5,2.14,0,9,38
2021-09-27,maize,Tarkwa,319.8,2.27,0,9,39
2021-10-04,maize,Tarkwa,366.6,1.87,0,10,40
2021-10-11,maize,Tarkwa,338.3,1.9,0,10,41
2021-10-18,maize,Tarkwa,356.1,1.88,0,10,42
2021-10-25,maize,Tarkwa,351.7,1.92,0,10,43
2021-11-01,maize,Tarkwa,318.7,2.02,0,11,44
2021-11-08,maize,Tarkwa,362.6,1.92,0,11,45
2021-11-15,maize,Tarkwa,319.8,1.96,0,11,46
2021-11-22,maize,Tarkwa,381.8,1.75,0,11,47
2021-11-29,maize,Tarkwa,333.6,1.91,0,11,48
2021-12-06,maize,Tarkwa,358.1,1.86,0,12,49
2021-12-13,maize,Tarkwa,345.2,1.83,0,12,50
2021-12-20,maize,Tarkwa,586.8,1.85,1,12,51
2021-12-27,maize,Tarkwa,536.5,1.9,1,12,52
2022-01-03,maize,Tarkwa,314.2,2.55,0,1,1
2022-01-10,maize,Tarkwa,332.2,2.33,0,1,2
2022-01-17,maize,Tarkwa,307.8,2.46,0,1,3
2022-01-24,maize,Tarkwa,321.9,2.41,0,1,4
2022-01-31,maize,Tarkwa,324.6,2.42,0,1,5
2022-02-07,maize,Tarkwa,298.3,2.57,0,2,6
2022-02-14,maize,Tarkwa,311.0,2.53,0,2,7
2022-02-21,maize,Tarkwa,288.6,2.6,0,2,8
2022-02-28,maize,Tarkwa,365.2,2.46,0,2,9
2022-03-07,maize,Tarkwa,371.9,2.06,0,3,10
2022-03-14,maize,Tarkwa,350.3,2.1,0,3,11
2022-03-21,maize,Tarkwa,363.7,2.14,0,3,12
2022-03-28,maize,Tarkwa,300.5,2.13,0,3,13
2022-04-04,maize,Tarkwa,472.3,2.04,1,4,14
2022-04-11,maize,Tarkwa,525.3,2.14,1,4,15
2022-04-18,maize,Tarkwa,312.6,2.15,0,4,16
2022-04-25,maize,Tarkwa,314.3,2.35,0,4,17
2022-05-02,maize,Tarkwa,329.1,2.31,0,5,18
2022-05-09,maize,Tarkwa,372.4,2.07,0,5,19
2022-05-16,maize,Tarkwa,323.0,2.12,0,5,20
2022-05-23,maize,Tarkwa,368.1,2.02,0,5,21
2022-05-30,maize,Tarkwa,349.4,2.1,0,5,22
2022-06-06,maize,Tarkwa,343.8,2.38,0,6,23
2022-06-13,maize,Tarkwa,318.3,2.46,0,6,24
2022-06-20,maize,Tarkwa,376.6,2.28,0,6,25
2022-06-27,maize,Tarkwa,344.5,2.29,0,6,26
2022-07-04,maize,Tarkwa,370.4,2.42,0,7,27
2022-07-11,maize,Tarkwa,299.6,2.63,0,7,28
2022-07-18,maize,Tarkwa,337.2,2.54,0,7,29
2022-07-25,maize,Tarkwa,317.0,2.59,0,7,30
2022-08-01,maize,Tarkwa,472.0,2.57,1,8,31
2022-08-08,maize,Tarkwa,488.4,2.65,1,8,32
2022-08-15,maize,Tarkwa,485.6,2.48,1,8,33
2022-08-22,maize,Tarkwa,411.8,2.51,1,8,34
2022-08-29,maize,Tarkwa,359.9,2.89,1,8,35
2022-09-05,maize,Tarkwa,382.9,2.27,0,9,36
2022-09-12,maize,Tarkwa,379.5,2.29,0,9,37
2022-09-19,maize,Tarkwa,360.8,2.57,0,9,38
2022-09-26,maize,Tarkwa,314.6,2.67,0,9,39
2022-10-03,maize,Tarkwa,333.1,1.95,0,10,40
2022-10-10,maize,Tarkwa,342.9,2.02,0,10,41
2022-10-17,maize,Tarkwa,344.3,2.08,0,10,42
2022-10-24,maize,Tarkwa,311.0,2.19,0,10,43
2022-10-31,maize,Tarkwa,393.8,1.97,0,10,44
2022-11-07,maize,Tarkwa,398.6,2.04,0,11,45
2022-11-14,maize,Tarkwa,350.0,2.13,0,11,46
2022-11-21,maize,Tarkwa,343.6,2.1,0,11,47
2022-11-28,maize,Tarkwa,325.3,2.03,0,11,48
2022-12-05,maize,Tarkwa,383.7,2.06,0,12,49
2022-12-12,maize,Tarkwa,366.1,1.96,0,12,50
2022-12-19,maize,Tarkwa,345.0,2.06,0,12,51
2022-12-26,maize,Tarkwa,602.2,2.05,1,12,52
2023-01-02,maize,Tarkwa,311.0,2.68,0,1,1
2023-01-09,maize,Tarkwa,333.6,2.59,0,1,2
2023-01-16,maize,Tarkwa,292.8,2.7,0,1,3
2023-01-23,maize,Tarkwa,335.8,2.76,0,1,4
2023-01-30,maize,Tarkwa,321.2,2.67,0,1,5
2023-02-06,maize,Tarkwa,344.1,2.71,0,2,6
2023-02-13,maize,Tarkwa,320.5,2.68,0,2,7
2023-02-20,maize,Tarkwa,322.7,2.67,0,2,8
2023-02-27,maize,Tarkwa,308.6,2.59,0,2,9
2023-03-06,maize,Tarkwa,361.4,2.32,0,3,10
2023-03-13,maize,Tarkwa,331.8,2.28,0,3,11
2023-03-20,maize,Tarkwa,319.2,2.48,0,3,12
2023-03-27,maize,Tarkwa,333.8,2.43,0,3,13
2023-04-03,maize,Tarkwa,547.9,2.34,1,4,14
2023-04-10,maize,Tarkwa,506.2,2.23,1,4,15
2023-04-17,maize,Tarkwa,357.0,2.2,0,4,16
2023-04-24,maize,Tarkwa,354.2,2.41,0,4,17
2023-05-01,maize,Tarkwa,340.0,2.34,0,5,18
2023-05-08,maize,Tarkwa,341.0,2.36,0,5,19
2023-05-15,maize,Tarkwa,373.0,2.16,0,5,20
2023-05-22,maize,Tarkwa,337.7,2.41,0,5,21
2023-05-29,maize,Tarkwa,324.3,2.36,0,5,22
2023-06-05,maize,Tarkwa,358.6,2.42,0,6,23
2023-06-12,maize,Tarkwa,372.8,2.49,0,6,24
2023-06-19,maize,Tarkwa,322.8,2.56,0,6,25
2023-06-26,maize,Tarkwa,338.8,2.54,0,6,26
2023-07-03,maize,Tarkwa,295.0,2.83,0,7,27
2023-07-10,maize,Tarkwa,338.0,2.85,0,7,28
2023-07-17,maize,Tarkwa,319.9,2.83,0,7,29
2023-07-24,maize,Tarkwa,301.3,2.88,0,7,30
2023-07-31,maize,Tarkwa,307.3,3.03,0,7,31
2023-08-07,maize,Tarkwa,481.3,2.58,1,8,32
2023-08-14,maize,Tarkwa,451.6,2.85,1,8,33
2023-08-21,maize,Tarkwa,433.6,2.9,1,8,34
2023-08-28,maize,Tarkwa,443.6,2.91,1,8,35
2023-09-04,maize,Tarkwa,381.0,2.55,0,9,36
2023-09-11,maize,Tarkwa,352.5,2.4,0,9,37
2023-09-18,maize,Tarkwa,354.9,2.62,0,9,38
2023-09-25,maize,Tarkwa,315.3,2.76,0,9,39
2023-10-02,maize,Tarkwa,388.8,2.08,0,10,40
2023-10-09,maize,Tarkwa,324.6,2.29,0,10,41
2023-10-16,maize,Tarkwa,359.8,2.18,0,10,42
2023-10-23,maize,Tarkwa,356.4,2.21,0,10,43
2023-10-30,maize,Tarkwa,417.7,2.12,0,10,44
2023-11-06,maize,Tarkwa,372.4,2.2,0,11,45
2023-11-13,maize,Tarkwa,330.4,2.34,0,11,46
2023-11-20,maize,Tarkwa,363.7,2.28,0,11,47
2023-11-27,maize,Tarkwa,381.7,2.38,0,11,48
2023-12-04,maize,Tarkwa,310.1,2.35,0,12,49
2023-12-11,maize,Tarkwa,333.8,2.28,0,12,50
2023-12-18,maize,Tarkwa,333.5,2.4,0,12,51
2023-12-25,maize,Tarkwa,569.4,2.28,1,12,52
2024-01-01,maize,Tarkwa,316.8,2.96,0,1,1
2024-01-08,maize,Tarkwa,308.2,2.83,0,1,2
2024-01-15,maize,Tarkwa,358.7,2.87,0,1,3
2024-01-22,maize,Tarkwa,309.1,2.79,0,1,4
2024-01-29,maize,Tarkwa,317.8,2.98,0,1,5
2024-02-05,maize,Tarkwa,365.4,2.75,0,2,6
2024-02-12,maize,Tarkwa,324.0,2.97,0,2,7
2024-02-19,maize,Tarkwa,314.3,2.86,0,2,8
2024-02-26,maize,Tarkwa,294.6,3.02,0,2,9
2024-03-04,maize,Tarkwa,343.1,2.55,0,3,10
2024-03-11,maize,Tarkwa,322.7,2.65,0,3,11
2024-03-18,maize,Tarkwa,353.2,2.54,0,3,12
2024-03-25,maize,Tarkwa,342.1,2.32,0,3,13
2024-04-01,maize,Tarkwa,590.1,2.48,1,4,14
2024-04-08,maize,Tarkwa,586.2,2.37,1,4,15
2024-04-15,maize,Tarkwa,366.1,2.44,0,4,16
2024-04-22,maize,Tarkwa,370.7,2.64,0,4,17
2024-04-29,maize,Tarkwa,341.0,2.55,0,4,18
2024-05-06,maize,Tarkwa,349.5,2.43,0,5,19
2024-05-13,maize,Tarkwa,356.7,2.4,0,5,20
2024-05-20,maize,Tarkwa,352.5,2.51,0,5,21
2024-05-27,maize,Tarkwa,369.1,2.38,0,5,22
2024-06-03,maize,Tarkwa,342.8,2.67,0,6,23
2024-06-10,maize,Tarkwa,308.3,2.77,0,6,24
2024-06-17,maize,Tarkwa,330.2,2.87,0,6,25
2024-06-24,maize,Tarkwa,354.7,2.81,0,6,26
2024-07-01,maize,Tarkwa,352.3,2.81,0,7,27
2024-07-08,maize,Tarkwa,345.5,3.13,0,7,28
2024-07-15,maize,Tarkwa,362.7,3.1,0,7,29
2024-07-22,maize,Tarkwa,336.2,3.14,0,7,30
2024-07-29,maize,Tarkwa,336.2,3.29,0,7,31
2024-08-05,maize,Tarkwa,544.2,2.85,1,8,32
2024-08-12,maize,Tarkwa,547.9,3.03,1,8,33
2024-08-19,maize,Tarkwa,532.4,3.18,1,8,34
2024-08-26,maize,Tarkwa,541.4,2.91,1,8,35
2024-09-02,maize,Tarkwa,354.9,2.96,0,9,36
2024-09-09,maize,Tarkwa,347.8,2.83,0,9,37
2024-09-16,maize,Tarkwa,345.7,2.89,0,9,38
2024-09-23,maize,Tarkwa,354.4,2.73,0,9,39
2024-09-30,maize,Tarkwa,360.5,2.88,0,9,40
2024-10-07,maize,Tarkwa,335.9,2.49,0,10,41
2024-10-14,maize,Tarkwa,355.7,2.41,0,10,42
2024-10-21,maize,Tarkwa,308.9,2.41,0,10,43
2024-10-28,maize,Tarkwa,395.7,2.42,0,10,44
2024-11-04,maize,Tarkwa,367.7,2.32,0,11,45
2024-11-11,maize,Tarkwa,374.3,2.39,0,11,46
2024-11-18,maize,Tarkwa,396.3,2.39,0,11,47
2024-11-25,maize,Tarkwa,365.2,2.44,0,11,48
2024-12-02,maize,Tarkwa,383.0,2.52,0,12,49
2024-12-09,maize,Tarkwa,347.1,2.32,0,12,50
2024-12-16,maize,Tarkwa,416.9,2.41,0,12,51
2024-12-23,maize,Tarkwa,616.3,2.56,1,12,52
2024-12-30,maize,Tarkwa,624.7,2.35,1,12,1
2018-01-01,maize,Bogoso,312.3,1.86,0,1,1
2018-01-08,maize,Bogoso,262.2,1.91,0,1,2
2018-01-15,maize,Bogoso,283.8,1.85,0,1,3
2018-01-22,maize,Bogoso,302.9,1.94,0,1,4
2018-01-29,maize,Bogoso,250.4,1.91,0,1,5
2018-02-05,maize,Bogoso,292.2,1.92,0,2,6
2018-02-12,maize,Bogoso,294.1,1.9,0,2,7
2018-02-19,maize,Bogoso,303.2,2.03,0,2,8
2018-02-26,maize,Bogoso,264.2,1.84,0,2,9
2018-03-05,maize,Bogoso,364.0,1.46,0,3,10
2018-03-12,maize,Bogoso,287.5,1.69,0,3,11
2018-03-19,maize,Bogoso,307.4,1.56,0,3,12
2018-03-26,maize,Bogoso,287.2,1.6,0,3,13
2018-04-02,maize,Bogoso,440.4,1.69,1,4,14
2018-04-09,maize,Bogoso,527.7,1.5,1,4,15
2018-04-16,maize,Bogoso,302.6,1.52,0,4,16
2018-04-23,maize,Bogoso,342.0,1.5,0,4,17
2018-04-30,maize,Bogoso,306.8,1.55,0,4,18
2018-05-07,maize,Bogoso,285.8,1.64,0,5,19
2018-05-14,maize,Bogoso,297.1,1.65,0,5,20
2018-05-21,maize,Bogoso,315.9,1.63,0,5,21
2018-05-28,maize,Bogoso,320.9,1.52,0,5,22
2018-06-04,maize,Bogoso,333.3,1.6,0,6,23
2018-06-11,maize,Bogoso,321.3,1.77,0,6,24
2018-06-18,maize,Bogoso,334.1,1.73,0,6,25
2018-06-25,maize,Bogoso,298.9,1.8,0,6,26
2018-07-02,maize,Bogoso,261.6,2.04,0,7,27
2018-07-09,maize,Bogoso,284.5,2.0,0,7,28
2018-07-16,maize,Bogoso,285.9,2.05,0,7,29
2018-07-23,maize,Bogoso,257.4,2.01,0,7,30
2018-07-30,maize,Bogoso,265.1,2.03,0,7,31
2018-08-06,maize,Bogoso,415.6,1.95,1,8,32
2018-08-13,maize,Bogoso,422.4,1.99,1,8,33
2018-08-20,maize,Bogoso,403.7,2.02,1,8,34
2018-08-27,maize,Bogoso,432.9,2.07,1,8,35
2018-09-03,maize,Bogoso,284.1,1.77,0,9,36
2018-09-10,maize,Bogoso,276.5,1.84,0,9,37
2018-09-17,maize,Bogoso,306.8,1.78,0,9,38
2018-09-24,maize,Bogoso,308.5,1.79,0,9,39
2018-10-01,maize,Bogoso,281.7,1.59,0,10,40
2018-10-08,maize,Bogoso,323.8,1.42,0,10,41
2018-10-15,maize,Bogoso,321.1,1.46,0,10,42
2018-10-22,maize,Bogoso,323.0,1.45,0,10,43
2018-10-29,maize,Bogoso,344.5,1.39,0,10,44
2018-11-05,maize,Bogoso,310.1,1.51,0,11,45
2018-11-12,maize,Bogoso,338.2,1.59,0,11,46
2018-11-19,maize,Bogoso,329.1,1.53,0,11,47
2018-11-26,maize,Bogoso,299.9,1.56,0,11,48
2018-12-03,maize,Bogoso,308.6,1.63,0,12,49
2018-12-10,maize,Bogoso,307.8,1.64,0,12,50
2018-12-17,maize,Bogoso,341.9,1.55,0,12,51
2018-12-24,maize,Bogoso,489.2,1.64,1,12,52
2018-12-31,maize,Bogoso,551.1,1.56,1,12,1
2019-01-07,maize,Bogoso,303.1,1.93,0,1,2
2019-01-14,maize,Bogoso,326.9,1.95,0,1,3
2019-01-21,maize,Bogoso,333.6,1.87,0,1,4
2019-01-28,maize,Bogoso,307.1,1.92,0,1,5
2019-02-04,maize,Bogoso,293.9,1.98,0,2,6
2019-02-11,maize,Bogoso,297.5,2.07,0,2,7
2019-02-18,maize,Bogoso,278.6,2.14,0,2,8
2019-02-25,maize,Bogoso,340.3,1.89,0,2,9
2019-03-04,maize,Bogoso,314.6,1.75,0,3,10
2019-03-11,maize,Bogoso,319.3,1.65,0,3,11
2019-03-18,maize,Bogoso,304.5,1.75,0,3,12
2019-03-25,maize,Bogoso,295.4,1.71,0,3,13
2019-04-01,maize,Bogoso,548.2,1.6,1,4,14
2019-04-08,maize,Bogoso,463.7,1.79,1,4,15
2019-04-15,maize,Bogoso,344.9,1.69,0,4,16
2019-04-22,maize,Bogoso,298.4,1.69,0,4,17
2019-04-29,maize,Bogoso,330.4,1.66,0,4,18
2019-05-06,maize,Bogoso,346.6,1.7,0,5,19
2019-05-13,maize,Bogoso,273.9,1.77,0,5,20
2019-05-20,maize,Bogoso,358.7,1.73,0,5,21
2019-05-27,maize,Bogoso,307.8,1.76,0,5,22
2019-06-03,maize,Bogoso,314.9,1.93,0,6,23
2019-06-10,maize,Bogoso,313.3,2.01,0,6,24
2019-06-17,maize,Bogoso,332.4,1.88,0,6,25
2019-06-24,maize,Bogoso,335.9,1.79,0,6,26
2019-07-01,maize,Bogoso,297.9,2.24,0,7,27
2019-07-08,maize,Bogoso,302.1,2.12,0,7,28
2019-07-15,maize,Bogoso,310.8,2.24,0,7,29
2019-07-22,maize,Bogoso,295.9,2.18,0,7,30
2019-07-29,maize,Bogoso,325.2,2.14,0,7,31
2019-08-05,maize,Bogoso,453.4,2.19,1,8,32
2019-08-12,maize,Bogoso,366.2,2.33,1,8,33
2019-08-19,maize,Bogoso,473.5,2.34,1,8,34
